latitude,longitude,altitude,geometry,comparison,type
46.8058308,7.1612343,,Point,17.4642491966,HEALTH_PHARMACY
48.0913701,-4.3327126,,Point,17.4642491966,FOOD_FASTFOOD
54.8974226,23.9055844,,Point,17.4928556845,TOURIST_MEMORIAL
47.3981295,8.4506861,,Point,17.5214154679,FOOD_PUB
47.3984037,8.4503569,,Point,17.5214154679,FOOD_BAR
47.397826,8.4505892,,Point,17.5214154679,MONEY_BANK
47.3980596,8.4504124,,Point,17.5214154679,FOOD_RESTAURANT
47.3979901,8.4509199,,Point,17.5214154679,FOOD_RESTAURANT
47.3980225,8.4510633,,Point,17.5214154679,SHOP_SUPERMARKET
47.3978471,8.450288,,Point,17.5214154679,FOOD_RESTAURANT
48.0914733,-4.3327471,,Point,17.5499287748,FOOD_RESTAURANT
48.0911876,-4.332472,,Point,17.5499287748,SHOP_DEPARTMENTSTORE
43.5468318,10.3049151,,Point,17.5499287748,TOURIST_FOUNTAIN
48.1468614,16.9434977,,Point,17.5783958312,FOOD_RESTAURANT
43.3885808,-1.6644333,,Point,17.5783958312,FOOD_RESTAURANT
43.3884255,-1.664198,,Point,17.5783958312,FOOD_BAR
46.2340436,7.3592384,,Point,17.6068168617,POW_CHRISTIAN
48.0901434,-4.3291648,,Point,17.6068168617,EDUCATION_SCHOOL
54.8963778,23.9062039,,Point,17.6068168617,TOURIST_THEATRE
48.0897373,-4.3288712,,Point,17.6068168617,EDUCATION_SCHOOL
48.0901847,-4.329158,,Point,17.6068168617,EDUCATION_SCHOOL
43.5448523,10.3061566,,Point,17.6068168617,FOOD_RESTAURANT
51.8535509,8.2905586,,Point,17.6068168617,SHOP_DEPARTMENTSTORE
41.8117697,12.6832348,,Point,17.6351920885,SHOP_SUPERMARKET
47.7793102,10.6196625,,Point,17.6635217327,FOOD_RESTAURANT
41.8117159,12.6835213,,Point,17.6635217327,SHOP_DEPARTMENTSTORE
48.1756768,6.4477536,,Point,17.691806013,SHOP_CONFECTIONERY
48.1757069,6.4476688,,Point,17.691806013,SHOP_CLOTHES
48.4590078,10.2774054,,Point,17.691806013,FOOD_FASTFOOD
48.1757536,6.4475954,,Point,17.691806013,SHOP_HAIRDRESSER
48.1760357,6.4479639,,Point,17.691806013,FOOD_RESTAURANT
45.8126747,9.0750975,,Point,17.691806013,FOOD_CAFE
48.0916575,-4.3328527,,Point,17.7200451467,FOOD_BAR
47.352483,8.3476935,,Point,17.7200451467,FOOD_RESTAURANT
54.897112,23.9073814,,Point,17.7200451467,TOURIST_THEATRE
54.897085,23.907356,,Point,17.7200451467,TOURIST_MUSEUM
43.3875403,-1.662396,,Point,17.7763888346,FOOD_RESTAURANT
48.4583558,10.2799447,,Point,17.8044938148,HEALTH_PHARMACY
56.1657005,15.5825696,,Point,17.8044938148,FOOD_FASTFOOD
45.9227991,6.865796,,Point,17.8325545001,EDUCATION_SCHOOL
53.5148976,12.6888308,,Point,17.8325545001,MONEY_BANK
45.9227377,6.8658131,,Point,17.8325545001,EDUCATION_SCHOOL
48.4584321,10.2782801,,Point,17.8605710995,SHOP_SUPERMARKET
41.4379641,-8.2919309,,Point,17.9164728672,SHOP_SUPERMARKET
48.1477113,16.9423101,,Point,17.9164728672,TOURIST_INFORMATION
45.9225362,6.8658162,,Point,17.9164728672,EDUCATION_SCHOOL
50.8379206,4.4062029,,Point,17.9443584449,TRANSPORT_TRAMSTOP
53.5570806,13.2679124,,Point,17.9722007556,AMENITY_TOWNHALL
48.4585467,10.2795678,,Point,17.9722007556,SHOP_DEPARTMENTSTORE
48.4585901,10.2769132,,Point,17.9722007556,TRANSPORT_FUEL
48.1465385,16.9429646,,Point,18,POW_CHRISTIAN
48.0619,12.22743,,Point,18,SHOP_HAIRDRESSER
46.9518831,4.3001118,,Point,18.0277563773,SHOP_CLOTHES
46.951783,4.3000806,,Point,18.0277563773,SHOP_CLOTHES
53.5218642,8.1182481,,Point,18.0277563773,TOURIST_THEATRE
48.146506,16.9428218,,Point,18.0277563773,SPORT_STADIUM
48.4586433,10.2798831,,Point,18.0277563773,FOOD_RESTAURANT
53.1211678,17.9943617,,Point,18.0554700853,MONEY_BANK
48.0909774,-4.332517,,Point,18.08314132,SHOP_BOOK
47.7790445,10.619758,,Point,18.08314132,EDUCATION_SCHOOL
51.3682152,-0.0941644,,Point,18.1107702763,POW_CHRISTIAN
51.8539335,8.2912327,,Point,18.1107702763,FOOD_RESTAURANT
48.4584768,10.2800288,,Point,18.1107702763,HEALTH_DENTIST
47.7787897,10.6187568,,Point,18.1107702763,SHOP_CLOTHES
50.6918053,4.2036629,,Point,18.1107702763,SHOP_VIDEORENTAL
50.6918769,4.2037336,,Point,18.1107702763,SHOP_HIFI
50.6920392,4.2038982,,Point,18.1107702763,SHOP_DEPARTMENTSTORE
50.6921165,4.2039814,,Point,18.1383571472,SHOP_CLOTHES
50.6918722,4.2041563,,Point,18.1383571472,SHOP_DEPARTMENTSTORE
50.6925419,4.2042276,,Point,18.1383571472,SHOP_HAIRDRESSER
50.6923904,4.2042696,,Point,18.1383571472,FOOD_CAFE
50.6923259,4.2041938,,Point,18.1383571472,SHOP_SHOES
50.6920111,4.2043046,,Point,18.1383571472,FOOD_RESTAURANT
50.6928662,4.2032669,,Point,18.1383571472,HEALTH_HOSPITAL
50.6922459,4.2041592,,Point,18.1383571472,SHOP_DEPARTMENTSTORE
50.6918051,4.2040967,,Point,18.1383571472,FOOD_RESTAURANT
50.69173,4.2040511,,Point,18.1383571472,FOOD_RESTAURANT
50.6918977,4.2041885,,Point,18.1383571472,SHOP_DEPARTMENTSTORE
43.3879945,-1.6629423,,Point,18.1383571472,HEALTH_PHARMACY
43.3880075,-1.6629409,,Point,18.1383571472,HEALTH_PHARMACY
49.6374155,-1.6187051,,Point,18.1383571472,EDUCATION_SCHOOL
50.6918777,4.2041672,,Point,18.1383571472,SHOP_CLOTHES
50.6925438,4.2044594,,Point,18.1383571472,FOOD_RESTAURANT
50.6919321,4.2042228,,Point,18.1383571472,SHOP_HEARINGAIDS
51.8535418,8.2906512,,Point,18.1659021246,FOOD_FASTFOOD
54.8979632,23.9059898,,Point,18.1659021246,TOURIST_MEMORIAL
38.9629646,-0.1803023,,Point,18.1659021246,TOURIST_FOUNTAIN
49.6367917,-1.6187394,,Point,18.1934053987,ACCOMMO_HOTEL
53.5146999,12.6886512,,Point,18.1934053987,FOOD_RESTAURANT
51.8369202,10.7928942,,Point,18.1934053987,MONEY_BANK
59.7432967,10.2015778,,Point,18.2208671583,TOURIST_ART
47.7786154,10.6200247,,Point,18.2482875909,SHOP_HAIRDRESSER
49.6357369,-1.6223419,,Point,18.2482875909,SHOP_HAIRDRESSER
43.4269271,6.7697941,,Point,18.2482875909,SHOP_MOTORCYCLE
50.6918552,4.2034579,,Point,18.2482875909,SHOP_CLOTHES
49.187365,16.5945263,,Point,18.2482875909,TRANSPORT_TRAMSTOP
47.7784365,10.6206471,,Point,18.2482875909,HEALTH_PHARMACY
47.7785964,10.6201629,,Point,18.2482875909,FOOD_PUB
51.8537531,8.2910331,,Point,18.2756668825,POW_CHRISTIAN
